Electrode,num_bursts,avg_burst_duration,avg_num_spikes,mean_isi,median_isi,median_mean_isi,ibi_avg,burst_freq,ibi_coeff,norm_dur_iqr,burst_percent
A1_11,0,0,0,0,0,0,0,0,0,0,0
A1_12,0,0,0,0,0,0,0,0,0,0,0
A1_13,0,0,0,0,0,0,0,0,0,0,0
A1_14,0,0,0,0,0,0,0,0,0,0,0
A1_15,0,0,0,0,0,0,0,0,0,0,0
A1_16,0,0,0,0,0,0,0,0,0,0,0
A1_17,0,0,0,0,0,0,0,0,0,0,0
A1_18,0,0,0,0,0,0,0,0,0,0,0
A1_21,0,0,0,0,0,0,0,0,0,0,0
A1_22,0,0,0,0,0,0,0,0,0,0,0
A1_23,0,0,0,0,0,0,0,0,0,0,0
A1_24,0,0,0,0,0,0,0,0,0,0,0
A1_25,0,0,0,0,0,0,0,0,0,0,0
A1_26,0,0,0,0,0,0,0,0,0,0,0
A1_27,0,0,0,0,0,0,0,0,0,0,0
A1_28,0,0,0,0,0,0,0,0,0,0,0
A1_31,0,0,0,0,0,0,0,0,0,0,0
A1_32,0,0,0,0,0,0,0,0,0,0,0
A1_33,0,0,0,0,0,0,0,0,0,0,0
A1_34,0,0,0,0,0,0,0,0,0,0,0
A1_35,0,0,0,0,0,0,0,0,0,0,0
A1_36,0,0,0,0,0,0,0,0,0,0,0
A1_37,0,0,0,0,0,0,0,0,0,0,0
A1_38,0,0,0,0,0,0,0,0,0,0,0
A1_41,0,0,0,0,0,0,0,0,0,0,0
A1_42,0,0,0,0,0,0,0,0,0,0,0
A1_43,0,0,0,0,0,0,0,0,0,0,0
A1_44,0,0,0,0,0,0,0,0,0,0,0
A1_45,0,0,0,0,0,0,0,0,0,0,0
A1_46,0,0,0,0,0,0,0,0,0,0,0
A1_47,0,0,0,0,0,0,0,0,0,0,0
A1_48,0,0,0,0,0,0,0,0,0,0,0
A1_51,0,0,0,0,0,0,0,0,0,0,0
A1_52,0,0,0,0,0,0,0,0,0,0,0
A1_53,0,0,0,0,0,0,0,0,0,0,0
A1_54,0,0,0,0,0,0,0,0,0,0,0
A1_55,0,0,0,0,0,0,0,0,0,0,0
A1_56,0,0,0,0,0,0,0,0,0,0,0
A1_57,0,0,0,0,0,0,0,0,0,0,0
A1_58,0,0,0,0,0,0,0,0,0,0,0
A1_61,0,0,0,0,0,0,0,0,0,0,0
A1_62,0,0,0,0,0,0,0,0,0,0,0
A1_63,0,0,0,0,0,0,0,0,0,0,0
A1_64,0,0,0,0,0,0,0,0,0,0,0
A1_65,0,0,0,0,0,0,0,0,0,0,0
A1_66,0,0,0,0,0,0,0,0,0,0,0
A1_67,0,0,0,0,0,0,0,0,0,0,0
A1_68,0,0,0,0,0,0,0,0,0,0,0
A1_71,0,0,0,0,0,0,0,0,0,0,0
A1_72,0,0,0,0,0,0,0,0,0,0,0
A1_73,0,0,0,0,0,0,0,0,0,0,0
A1_74,0,0,0,0,0,0,0,0,0,0,0
A1_75,0,0,0,0,0,0,0,0,0,0,0
A1_76,0,0,0,0,0,0,0,0,0,0,0
