Electrode,Resistance
A1_11,11.45856
A1_12,11.846059
A1_13,11.234263
A1_14,11.364723
A1_15,11.667442
A1_16,20.178606
A1_17,17.208703
A1_18,11.765108
A1_21,11.105056
A1_22,14.21306
A1_23,11.904544
A1_24,11.791008
A1_25,21.413823
A1_26,37.647574
A1_27,46.460231
A1_28,47.908601
A1_31,11.683775
A1_32,11.297691
A1_33,11.604793
A1_34,12.069914
A1_35,20.184064
A1_36,42.080566
A1_37,47.193384
A1_38,49.342016
A1_41,10.604269
A1_42,11.230628
A1_43,11.228882
A1_44,11.495808
A1_45,28.549897
A1_46,49.840961
A1_47,49.10404
A1_48,46.544372
A1_51,11.139797
A1_52,10.355185
A1_53,11.046027
A1_54,11.724271
A1_55,35.388293
A1_56,46.4208
A1_57,44.300983
A1_58,43.691593
A1_61,10.929733
A1_62,12.749374
A1_63,11.183774
A1_64,11.7349
A1_65,22.321109
A1_66,50.339976
A1_67,42.245867
A1_68,21.952264
A1_71,11.422189
A1_72,10.825425
A1_73,11.548981
A1_74,11.8849
A1_75,13.72503
A1_76,36.725494
A1_77,52.544727
A1_78,27.861036
A1_81,11.021259
A1_82,10.472317
A1_83,11.111731
A1_84,11.750714
A1_85,12.267159
A1_86,23.648062
A1_87,49.824377
A1_88,43.102962
A2_11,11.668648
A2_12,10.396578
A2_13,27.989725
A2_14,36.386525
A2_15,37.73081
A2_16,19.331434
A2_17,12.760924
A2_18,11.687814
A2_21,12.126207
A2_22,10.385958
A2_23,24.842103
A2_24,46.384528
A2_25,33.8655
A2_26,28.593921
A2_27,36.115793
A2_28,36.075406
A2_31,10.175522
A2_32,17.455499
A2_33,47.859112
A2_34,42.110546
A2_35,50.559993
A2_36,44.893803
A2_37,42.714234
A2_38,43.178311
A2_41,11.696647
A2_42,30.089491
A2_43,47.516656
A2_44,15.78449
A2_45,57.580297
A2_46,44.042137
A2_47,52.115835
A2_48,44.703479
A2_51,11.325139
A2_52,17.103999
A2_53,47.715433
A2_54,18.678934
A2_55,36.373844
A2_56,47.095973
A2_57,48.101619
A2_58,43.073309
A2_61,12.578063
A2_62,19.026942
A2_63,45.63348
A2_64,26.484056
A2_65,18.722303
A2_66,14.075417
A2_67,28.182882
A2_68,32.137229
A2_71,11.743807
A2_72,12.486699
A2_73,13.444863
A2_74,51.085909
A2_75,43.724322
A2_76,14.317803
A2_77,24.127304
A2_78,34.392393
A2_81,12.094955
A2_82,13.514824
A2_83,12.701969
A2_84,16.72798
A2_85,47.938299
A2_86,29.814714
A2_87,13.773721
A2_88,13.320223
A3_11,29.65063
A3_12,46.145144
A3_13,53.646313
A3_14,49.508375
A3_15,54.235372
A3_16,54.427242
A3_17,54.958486
A3_18,44.721444
A3_21,43.30211
A3_22,40.259597
A3_23,46.90573
A3_24,45.223204
A3_25,52.302403
A3_26,51.348361
A3_27,51.74843
A3_28,49.683371
A3_31,41.196474
A3_32,31.967273
A3_33,37.612647
A3_34,44.26272
A3_35,46.773578
A3_36,47.298047
A3_37,49.80171
A3_38,55.636047
A3_41,17.265481
A3_42,46.404201
A3_43,41.396639
A3_44,40.918181
A3_45,48.173634
A3_46,50.570137
A3_47,0
A3_48,46.44198
A3_51,12.496349
A3_52,37.284063
A3_53,41.752954
A3_54,45.789956
A3_55,0
A3_56,47.395621
A3_57,0
A3_58,49.468246
A3_61,12.164168
A3_62,12.610481
A3_63,53.993284
A3_64,48.818229
A3_65,46.172111
A3_66,44.846723
A3_67,46.6903
A3_68,55.658495
A3_71,11.785245
A3_72,12.006712
A3_73,13.302852
A3_74,40.239928
A3_75,57.756711
A3_76,51.808085
A3_77,55.250777
A3_78,16.279427
A3_81,11.709162
A3_82,11.857098
A3_83,11.334323
A3_84,13.946939
A3_85,13.727269
A3_86,13.613192
A3_87,12.691725
A3_88,12.14286
B1_11,10.999951
B1_12,10.76664
B1_13,12.581355
B1_14,14.965766
B1_15,49.774065
B1_16,47.907627
B1_17,16.330288
B1_18,11.945732
B1_21,10.794057
B1_22,10.921507
B1_23,14.075154
B1_24,46.590481
B1_25,34.588445
B1_26,49.080293
B1_27,48.823427
B1_28,51.572746
B1_31,16.487836
B1_32,21.918686
B1_33,37.249216
B1_34,26.24796
B1_35,30.945356
B1_36,26.768621
B1_37,44.449279
B1_38,41.000038
B1_41,10.586419
B1_42,44.616145
B1_43,31.479049
B1_44,25.715153
B1_45,0
B1_46,0
B1_47,0
B1_48,0
B1_51,10.587599
